[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
92    0x00006f4f 0x00408b4f 4   5    .text   ascii   \nrs\n
93    0x00006f92 0x00408b92 4   5    .text   ascii   \n\f\bo
94    0x00006f99 0x00408b99 4   5    .text   ascii   \n\r+5
95    0x00006fb2 0x00408bb2 4   5    .text   ascii   \nr#\f
96    0x00007056 0x00408c56 4   5    .text   ascii   \nr#\f
97    0x000070fc 0x00408cfc 4   5    .text   ascii   \nr#\f
98    0x000071a2 0x00408da2 4   5    .text   ascii   \nr#\f
99    0x000071e1 0x00408de1 4   5    .text   ascii   \nr3\v
100   0x00007248 0x00408e48 4   5    .text   ascii   \nr#\f
101   0x00007287 0x00408e87 4   5    .text   ascii   \nrc\v
102   0x000072ee 0x00408eee 4   5    .text   ascii   \nr#\f
103   0x00007394 0x00408f94 4   5    .text   ascii   \nr#\f
104   0x0000743a 0x0040903a 4   5    .text   ascii   \nr#\f
105   0x00008ba3 0x0040a7a3 4   5    .text   ascii   PAs3
106   0x00008d5b 0x0040a95b 4   5    .text   ascii   \nXY\v
107   0x00008d8a 0x0040a98a 4   5    .text   ascii   \nrr\e
108   0x00008da1 0x0040a9a1 4   5    .text   ascii   \n\v+\e
109   0x00008ded 0x0040a9ed 4   5    .text   ascii   \n\f\bo
110   0x00008df4 0x0040a9f4 4   5    .text   ascii   \n\r+\e
111   0x00009aa9 0x0040b6a9 4   5    .text   ascii   PAs3
112   0x00009c57 0x0040b857 4   5    .text   ascii   \n*Z(
113   0x00009ce7 0x0040b8e7 4   5    .text   ascii   *V([
114   0x00009d0b 0x0040b90b 5   6    .text   ascii   \n*Vsa
115   0x00009d22 0x0040b922 4   5    .text   ascii   *.sd
116   0x00009d4c 0x0040b94c 4   5    .text   ascii   BSJB
117   0x00009d5c 0x0040b95c 10  11   .text   ascii   v4.0.30319
118   0x00009d80 0x0040b980 8   9    .text   ascii   #Strings
119   0x00009da0 0x0040b9a0 5   6    .text   ascii   #GUID
120   0x00009db0 0x0040b9b0 5   6    .text   ascii   #Blob
121   0x00009de0 0x0040b9e0 5   24   .text   utf32le f~ã\b\r
122   0x0000b659 0x0040d259 7   8    .text   ascii   label10
123   0x0000b661 0x0040d261 8   9    .text   ascii   button10
124   0x0000b66a 0x0040d26a 14  15   .text   ascii   columnHeader10
125   0x0000b679 0x0040d279 15  16   .text   ascii   <.cctor>b__38_0
126   0x0000b689 0x0040d289 9   10   .text   ascii   <>9__19_0
127   0x0000b693 0x0040d293 23  24   .text   ascii   <NebulousHarbor>b__19_0
128   0x0000b6ab 0x0040d2ab 9   10   .text   ascii   BtnOda101
129   0x0000b6b5 0x0040d2b5 7   8    .text   ascii   label11
130   0x0000b6bd 0x0040d2bd 8   9    .text   ascii   button11
131   0x0000b6c6 0x0040d2c6 14  15   .text   ascii   columnHeader11
132   0x0000b6d5 0x0040d2d5 15  16   .text   ascii   button4_Click_1
133   0x0000b6e5 0x0040d2e5 6   7    .text   ascii   Func`1
134   0x0000b6ec 0x0040d2ec 13  14   .text   ascii   IEnumerable`1
135   0x0000b6fa 0x0040d2fa 13  14   .text   ascii   ThreadLocal`1
136   0x0000b708 0x0040d308 6   7    .text   ascii   List`1
137   0x0000b70f 0x0040d30f 10  11   .text   ascii   linkLabel1
138   0x0000b71a 0x0040d31a 6   7    .text   ascii   label1
139   0x0000b721 0x0040d321 10  12   .text   utf8    Lblalınan1
140   0x0000b72d 0x0040d32d 7   8    .text   ascii   button1
141   0x0000b735 0x0040d335 13  14   .text   ascii   LblFaturalar1
142   0x0000b743 0x0040d343 13  14   .text   ascii   columnHeader1
143   0x0000b751 0x0040d351 6   7    .text   ascii   timer1
144   0x0000b758 0x0040d358 11  12   .text   ascii   webBrowser1
145   0x0000b764 0x0040d364 21  22   .text   ascii   axWindowsMediaPlayer1
146   0x0000b77a 0x0040d37a 15  17   .text   utf8    Pansiyon_kayıt1
147   0x0000b78b 0x0040d38b 9   10   .text   ascii   listView1
148   0x0000b795 0x0040d395 9   10   .text   ascii   comboBox1
149   0x0000b79f 0x0040d39f 9   10   .text   ascii   groupBox1
150   0x0000b7a9 0x0040d3a9 12  13   .text   ascii   richTextBox1
151   0x0000b7b6 0x0040d3b6 8   9    .text   ascii   textBox1
152   0x0000b7bf 0x0040d3bf 9   10   .text   ascii   BtnOda102
153   0x0000b7c9 0x0040d3c9 7   8    .text   ascii   label12
154   0x0000b7d1 0x0040d3d1 8   9    .text   ascii   button12
155   0x0000b7da 0x0040d3da 7   8    .text   ascii   ToInt32
156   0x0000b7e2 0x0040d3e2 6   7    .text   ascii   Func`2
157   0x0000b7e9 0x0040d3e9 10  11   .text   ascii   linkLabel2
158   0x0000b7f4 0x0040d3f4 6   7    .text   ascii   label2
159   0x0000b7fb 0x0040d3fb 10  12   .text   utf8    Lblalınan2
160   0x0000b807 0x0040d407 7   8    .text   ascii   button2
161   0x0000b80f 0x0040d40f 13  14   .text   ascii   LblFaturalar2
162   0x0000b81d 0x0040d41d 13  14   .text   ascii   columnHeader2
163   0x0000b82b 0x0040d42b 8   9    .text   ascii   veriler2
164   0x0000b834 0x0040d434 10  11   .text   ascii   Btnkaydet2
165   0x0000b83f 0x0040d43f 9   10   .text   ascii   listView2
166   0x0000b849 0x0040d449 9   10   .text   ascii   groupBox2
167   0x0000b853 0x0040d453 9   10   .text   ascii   BtnOda103
168   0x0000b85d 0x0040d45d 6   7    .text   ascii   Func`3
169   0x0000b864 0x0040d464 10  11   .text   ascii   linkLabel3
170   0x0000b86f 0x0040d46f 6   7    .text   ascii   label3
171   0x0000b876 0x0040d476 10  12   .text   utf8    Lblalınan3
172   0x0000b882 0x0040d482 7   8    .text   ascii   button3
173   0x0000b88a 0x0040d48a 13  14   .text   ascii   LblFaturalar3
174   0x0000b898 0x0040d498 13  14   .text   ascii   columnHeader3
175   0x0000b8a6 0x0040d4a6 9   10   .text   ascii   BtnOda104
176   0x0000b8b0 0x0040d4b0 6   7    .text   ascii   label4
177   0x0000b8b7 0x0040d4b7 7   8    .text   ascii   button4
178   0x0000b8bf 0x0040d4bf 13  14   .text   ascii   columnHeader4
179   0x0000b8cd 0x0040d4cd 9   10   .text   ascii   BtnOda105
180   0x0000b8d7 0x0040d4d7 6   7    .text   ascii   label5
181   0x0000b8de 0x0040d4de 7   8    .text   ascii   button5
182   0x0000b8e6 0x0040d4e6 13  14   .text   ascii   columnHeader5
183   0x0000b8f4 0x0040d4f4 9   10   .text   ascii   BtnOda106
184   0x0000b8fe 0x0040d4fe 7   8    .text   ascii   ToInt16
185   0x0000b906 0x0040d506 6   7    .text   ascii   label6
186   0x0000b90d 0x0040d50d 7   8    .text   ascii   button6
187   0x0000b915 0x0040d515 13  14   .text   ascii   columnHeader6
188   0x0000b923 0x0040d523 9   10   .text   ascii   BtnOda107
189   0x0000b92d 0x0040d52d 6   7    .text   ascii   label7
190   0x0000b934 0x0040d534 7   8    .text   ascii   button7
191   0x0000b93c 0x0040d53c 13  14   .text   ascii   columnHeader7
192   0x0000b94a 0x0040d54a 9   10   .text   ascii   BtnOda108
193   0x0000b954 0x0040d554 6   7    .text   ascii   label8
194   0x0000b95b 0x0040d55b 7   8    .text   ascii   button8
195   0x0000b963 0x0040d563 13  14   .text   ascii   columnHeader8
196   0x0000b971 0x0040d571 9   10   .text   ascii   BtnOda109
197   0x0000b97f 0x0040d57f 6   7    .text   ascii   label9
198   0x0000b986 0x0040d586 7   8    .text   ascii   button9
199   0x0000b98e 0x0040d58e 13  14   .text   ascii   columnHeader9
200   0x0000b99c 0x0040d59c 8   9    .text   ascii   <Module>
201   0x0000b9a5 0x0040d5a5 5   6    .text   ascii   get_A
202   0x0000b9ab 0x0040d5ab 5   6    .text   ascii   get_B
203   0x0000b9b4 0x0040d5b4 6   7    .text   ascii   HnaZtD
204   0x0000b9bb 0x0040d5bb 5   6    .text   ascii   SizeF
205   0x0000b9c1 0x0040d5c1 5   6    .text   ascii   get_G
206   0x0000b9c7 0x0040d5c7 9   10   .text   ascii   System.IO
207   0x0000b9d1 0x0040d5d1 5   6    .text   ascii   get_R
208   0x0000b9d7 0x0040d5d7 11  12   .text   ascii   get_Fuchsia
209   0x0000b9e3 0x0040d5e3 6   7    .text   ascii   nebula
210   0x0000b9ea 0x0040d5ea 6   7    .text   ascii   BtnAra
211   0x0000b9f1 0x0040d5f1 6   7    .text   ascii   get_sa
212   0x0000b9f8 0x0040d5f8 11  12   .text   ascii   System.Data
213   0x0000ba04 0x0040d604 16  17   .text   ascii   AxInterop.WMPLib
214   0x0000ba15 0x0040d615 8   9    .text   ascii   AxWMPLib
215   0x0000ba1e 0x0040d61e 8   9    .text   ascii   mscorlib
216   0x0000ba2b 0x0040d62b 5   6    .text   ascii   TxtTc
217   0x0000ba31 0x0040d631 26  27   .text   ascii   System.Collections.Generic
218   0x0000ba4c 0x0040d64c 8   9    .text   ascii   Lblsonuc
219   0x0000ba55 0x0040d655 11  12   .text   ascii   get_CanRead
220   0x0000ba61 0x0040d661 8   9    .text   ascii   add_Load
221   0x0000ba6a 0x0040d66a 19  21   .text   utf8    FrmYeniMüsteri_Load
222   0x0000ba7f 0x0040d67f 15  16   .text   ascii   FrmAnaForm_Load
223   0x0000ba8f 0x0040d68f 14  15   .text   ascii   FrmOdalar_Load
224   0x0000ba9e 0x0040d69e 16  17   .text   ascii   FrmMesajlar_Load
225   0x0000baaf 0x0040d6af 15  16   .text   ascii   FrmStoklar_Load
226   0x0000babf 0x0040d6bf 18  19   .text   ascii   FrmGelirGider_Load
227   0x0000bad2 0x0040d6d2 18  20   .text   utf8    FrmMüsteriler_Load
228   0x0000baea 0x0040d6ea 7   8    .text   ascii   get_Red
229   0x0000baf2 0x0040d6f2 13  14   .text   ascii   get_IndianRed
230   0x0000bb00 0x0040d700 28  29   .text   ascii   dateTimePicker2_ValueChanged
231   0x0000bb1d 0x0040d71d 16  17   .text   ascii   add_ValueChanged
232   0x0000bb2e 0x0040d72e 20  25   .text   utf8    DtÇıkış_ValueChanged
233   0x0000bb47 0x0040d747 20  21   .text   ascii   textBox1_TextChanged
234   0x0000bb5c 0x0040d75c 15  16   .text   ascii   add_TextChanged
235   0x0000bb6c 0x0040d76c 30  31   .text   ascii   listView1_SelectedIndexChanged
236   0x0000bb8b 0x0040d78b 24  25   .text   ascii   add_SelectedIndexChanged
237   0x0000bba4 0x0040d7a4 11  12   .text   ascii   set_Enabled
238   0x0000bbb0 0x0040d7b0 21  22   .text   ascii   set_FormattingEnabled
239   0x0000bbc6 0x0040d7c6 27  28   .text   ascii   get_IsCancellationRequested
240   0x0000bbe2 0x0040d7e2 12  13   .text   ascii   Synchronized
241   0x0000bbf2 0x0040d7f2 9   10   .text   ascii   DbCommand
242   0x0000bbfc 0x0040d7fc 10  11   .text   ascii   SqlCommand
243   0x0000bc07 0x0040d807 14  15   .text   ascii   CreateInstance
244   0x0000bc16 0x0040d816 15  16   .text   ascii   defaultInstance
245   0x0000bc26 0x0040d826 13  14   .text   ascii   WeakReference
246   0x0000bc34 0x0040d834 6   7    .text   ascii   parade
247   0x0000bc3b 0x0040d83b 4   5    .text   ascii   Hide
248   0x0000bc40 0x0040d840 17  18   .text   ascii   set_AutoScaleMode
249   0x0000bc52 0x0040d852 16  17   .text   ascii   set_AutoSizeMode
250   0x0000bc63 0x0040d863 5   6    .text   ascii   Image
251   0x0000bc69 0x0040d869 8   9    .text   ascii   AddRange
252   0x0000bc72 0x0040d872 6   7    .text   ascii   Invoke
253   0x0000bc79 0x0040d879 9   10   .text   ascii   DataTable
254   0x0000bc83 0x0040d883 10  11   .text   ascii   Enumerable
255   0x0000bc8e 0x0040d88e 11  12   .text   ascii   IDisposable
256   0x0000bc9a 0x0040d89a 11  12   .text   ascii   set_Visible
257   0x0000bca6 0x0040d8a6 6   7    .text   ascii   Double
258   0x0000bcad 0x0040d8ad 17  18   .text   ascii   RuntimeTypeHandle
259   0x0000bcbf 0x0040d8bf 17  18   .text   ascii   GetTypeFromHandle
260   0x0000bcd1 0x0040d8d1 10  11   .text   ascii   IsVolatile
261   0x0000bcdc 0x0040d8dc 11  13   .text   utf8    BtnGüncelle
262   0x0000bce9 0x0040d8e9 15  16   .text   ascii   set_BorderStyle
263   0x0000bcf9 0x0040d8f9 9   10   .text   ascii   FontStyle
264   0x0000bd03 0x0040d903 10  11   .text   ascii   BtnTemizle
265   0x0000bd0e 0x0040d90e 8   9    .text   ascii   set_Name
266   0x0000bd17 0x0040d917 8   9    .text   ascii   get_Lime
267   0x0000bd20 0x0040d920 10  11   .text   ascii   ToDateTime
268   0x0000bd2b 0x0040d92b 14  15   .text   ascii   get_Aquamarine
269   0x0000bd3a 0x0040d93a 4   5    .text   ascii   rune
270   0x0000bd3f 0x0040d93f 6   7    .text   ascii   AsType
271   0x0000bd46 0x0040d946 8   9    .text   ascii   TxtSifre
272   0x0000bd4f 0x0040d94f 11  12   .text   ascii   System.Core
273   0x0000bd5b 0x0040d95b 11  12   .text   ascii   get_Culture
274   0x0000bd67 0x0040d967 11  12   .text   ascii   set_Culture
275   0x0000bd73 0x0040d973 15  16   .text   ascii   resourceCulture
276   0x0000bd83 0x0040d983 26  27   .text   ascii   InternalDataCollectionBase
277   0x0000bd9e 0x0040d99e 10  11   .text   ascii   ButtonBase
278   0x0000bda9 0x0040d9a9 23  24   .text   ascii   ApplicationSettingsBase
279   0x0000bdc1 0x0040d9c1 11  12   .text   ascii   TextBoxBase
280   0x0000bdcd 0x0040d9cd 5   6    .text   ascii   Close
281   0x0000bdd3 0x0040d9d3 7   8    .text   ascii   Dispose
282   0x0000bddb 0x0040d9db 5   6    .text   ascii   Parse
283   0x0000bde1 0x0040d9e1 9   10   .text   ascii   Aggregate
284   0x0000bdeb 0x0040d9eb 8   9    .text   ascii   Navigate
285   0x0000bdf4 0x0040d9f4 20  21   .text   ascii   EditorBrowsableState
286   0x0000be09 0x0040da09 12  13   .text   ascii   set_OcxState
287   0x0000be16 0x0040da16 9   10   .text   ascii   get_White
288   0x0000be20 0x0040da20 12  13   .text   ascii   get_CanWrite
289   0x0000be2d 0x0040da2d 18  19   .text   ascii   STAThreadAttribute
290   0x0000be40 0x0040da40 26  27   .text   ascii   CompilerGeneratedAttribute
291   0x0000be5b 0x0040da5b 22  23   .text   ascii   GeneratedCodeAttribute
292   0x0000be72 0x0040da72 28  29   .text   ascii   DebuggerNonUserCodeAttribute
293   0x0000be8f 0x0040da8f 19  20   .text   ascii   DebuggableAttribute
294   0x0000bea3 0x0040daa3 24  25   .text   ascii   EditorBrowsableAttribute
295   0x0000bebc 0x0040dabc 24  25   .text   ascii   TargetFrameworkAttribute
296   0x0000bed5 0x0040dad5 31  32   .text   ascii   CompilationRelaxationsAttribute
297   0x0000bef5 0x0040daf5 29  30   .text   ascii   RuntimeCompatibilityAttribute
298   0x0000bf13 0x0040db13 4   5    .text   ascii   Byte
299   0x0000bf18 0x0040db18 13  14   .text   ascii   get_SlateBlue
300   0x0000bf26 0x0040db26 13  14   .text   ascii   get_LightBlue
301   0x0000bf34 0x0040db34 11  12   .text   ascii   get_SkyBlue
302   0x0000bf40 0x0040db40 9   10   .text   ascii   get_Value
303   0x0000bf4a 0x0040db4a 9   10   .text   ascii   set_Value
304   0x0000bf54 0x0040db54 5   6    .text   ascii   value
305   0x0000bf5a 0x0040db5a 9   10   .text   ascii   KeepAlive
306   0x0000bf64 0x0040db64 11  12   .text   ascii   get_IsAlive
307   0x0000bf70 0x0040db70 10  11   .text   ascii   HnaZtD.exe
308   0x0000bf7b 0x0040db7b 8   9    .text   ascii   set_Size
309   0x0000bf84 0x0040db84 15  16   .text   ascii   set_MinimumSize
310   0x0000bf94 0x0040db94 12  13   .text   ascii   set_AutoSize
311   0x0000bfa1 0x0040dba1 14  15   .text   ascii   set_ClientSize
312   0x0000bfb0 0x0040dbb0 18  19   .text   ascii   ISupportInitialize
313   0x0000bfc3 0x0040dbc3 13  14   .text   ascii   get_PeachPuff
314   0x0000bfd1 0x0040dbd1 16  17   .text   ascii   System.Threading
315   0x0000bfe2 0x0040dbe2 7   8    .text   ascii   Padding
316   0x0000bfea 0x0040dbea 25  26   .text   ascii   System.Runtime.Versioning
317   0x0000c004 0x0040dc04 16  17   .text   ascii   ToLongTimeString
318   0x0000c015 0x0040dc15 16  17   .text   ascii   ToLongDateString
319   0x0000c026 0x0040dc26 8   9    .text   ascii   ToString
320   0x0000c02f 0x0040dc2f 9   10   .text   ascii   GetString
321   0x0000c039 0x0040dc39 9   10   .text   ascii   disposing
322   0x0000c043 0x0040dc43 14  15   .text   ascii   System.Drawing
323   0x0000c052 0x0040dc52 5   6    .text   ascii   Match
324   0x0000c058 0x0040dc58 5   6    .text   ascii   Flush
325   0x0000c05e 0x0040dc5e 4   5    .text   ascii   Math
326   0x0000c063 0x0040dc63 9   10   .text   ascii   get_Width
327   0x0000c06d 0x0040dc6d 9   10   .text   ascii   set_Width
328   0x0000c077 0x0040dc77 10  11   .text   ascii   get_Length
329   0x0000c082 0x0040dc82 13  14   .text   ascii   set_MaxLength
330   0x0000c090 0x0040dc90 6   7    .text   ascii   TxtAdi
331   0x0000c097 0x0040dc97 9   10   .text   ascii   TxtSoyadi
332   0x0000c0a1 0x0040dca1 9   10   .text   ascii   get_Khaki
333   0x0000c0ab 0x0040dcab 10  11   .text   ascii   get_kxiUri
334   0x0000c0b6 0x0040dcb6 14  16   .text   utf8    FrmYeniMüsteri
335   0x0000c0c6 0x0040dcc6 8   9    .text   ascii   baglanti
336   0x0000c0cf 0x0040dccf 11  12   .text   ascii   timer1_Tick
337   0x0000c0db 0x0040dcdb 8   9    .text   ascii   add_Tick
338   0x0000c0e4 0x0040dce4 14  15   .text   ascii   button10_Click
339   0x0000c0f3 0x0040dcf3 15  16   .text   ascii   BtnOda101_Click
340   0x0000c103 0x0040dd03 14  15   .text   ascii   button11_Click
341   0x0000c112 0x0040dd12 12  13   .text   ascii   label1_Click
342   0x0000c11f 0x0040dd1f 13  14   .text   ascii   button1_Click
343   0x0000c12d 0x0040dd2d 15  16   .text   ascii   BtnOda102_Click
344   0x0000c13d 0x0040dd3d 12  13   .text   ascii   label2_Click
345   0x0000c14a 0x0040dd4a 13  14   .text   ascii   button2_Click
346   0x0000c158 0x0040dd58 16  17   .text   ascii   Btnkaydet2_Click
347   0x0000c169 0x0040dd69 15  16   .text   ascii   BtnOda103_Click
348   0x0000c179 0x0040dd79 13  14   .text   ascii   button3_Click
349   0x0000c187 0x0040dd87 15  16   .text   ascii   BtnOda104_Click
350   0x0000c197 0x0040dd97 13  14   .text   ascii   button4_Click
351   0x0000c1a5 0x0040dda5 15  16   .text   ascii   BtnOda105_Click
352   0x0000c1b5 0x0040ddb5 13  14   .text   ascii   button5_Click
353   0x0000c1c3 0x0040ddc3 15  16   .text   ascii   BtnOda106_Click
354   0x0000c1d3 0x0040ddd3 13  14   .text   ascii   button6_Click
355   0x0000c1e1 0x0040dde1 15  16   .text   ascii   BtnOda107_Click
356   0x0000c1f1 0x0040ddf1 13  14   .text   ascii   button7_Click
357   0x0000c1ff 0x0040ddff 15  16   .text   ascii   BtnOda108_Click
358   0x0000c20f 0x0040de0f 13  14   .text   ascii   button8_Click
359   0x0000c21d 0x0040de1d 15  16   .text   ascii   BtnOda109_Click
360   0x0000c22d 0x0040de2d 13  14   .text   ascii   button9_Click
361   0x0000c23b 0x0040de3b 12  13   .text   ascii   BtnAra_Click
362   0x0000c248 0x0040de48 9   10   .text   ascii   add_Click
363   0x0000c252 0x0040de52 17  19   .text   utf8    BtnGüncelle_Click
364   0x0000c265 0x0040de65 16  17   .text   ascii   BtnTemizle_Click
365   0x0000c276 0x0040de76 12  13   .text   ascii   BtnSil_Click
366   0x0000c283 0x0040de83 15  16   .text   ascii   BtnKaydet_Click
367   0x0000c293 0x0040de93 15  16   .text   ascii   Btnkaydet_Click
368   0x0000c2a3 0x0040dea3 13  14   .text   ascii   BtnDolu_Click
369   0x0000c2b1 0x0040deb1 14  16   .text   utf8    BtnGiriş_Click
370   0x0000c2c1 0x0040dec1 12  14   .text   utf8    BtnBoş_Click
371   0x0000c2cf 0x0040decf 21  22   .text   ascii   listView1_DoubleClick
372   0x0000c2e5 0x0040dee5 15  16   .text   ascii   add_DoubleClick
373   0x0000c2f5 0x0040def5 12  13   .text   ascii   Txtelektirik
374   0x0000c302 0x0040df02 8   10   .text   utf8    FrmMüzik
375   0x0000c30c 0x0040df0c 8   9    .text   ascii   get_Pink
376   0x0000c315 0x0040df15 8   9    .text   ascii   set_Mask
377   0x0000c31e 0x0040df1e 4   5    .text   ascii   dial
378   0x0000c323 0x0040df23 14  15   .text   ascii   get_LightCoral
379   0x0000c332 0x0040df32 6   7    .text   ascii   MskTel
380   0x0000c339 0x0040df39 9   10   .text   ascii   LinkLabel
381   0x0000c343 0x0040df43 21  22   .text   ascii   System.ComponentModel
382   0x0000c359 0x0040df59 9   10   .text   ascii   _sentinel
